iso3,lat,lon,country
ATF,-66.666664,-140,French Southern Antartic territories
FLK,-51.700001,-57.849998,Falkland Islands
NZL,-44.283333,174.78334,New Zealand
URY,-34.916668,-56.166668,Uruguay
ARG,-34.666668,-58.5,Argentina
ZAF,-33.933334,18.466667,South Africa
AUS,-33.883335,151.16667,Australia
CHL,-33.5,-70.666664,Chile
LSO,-29.316668,27.483334,Lesotho
NFK,-29.049999,167.96666,Norfolk Island
SWZ,-26.333334,31.133333,Swaziland
MOZ,-25.966667,32.583332,Mozambique
PRY,-25.25,-57.666668,Paraguay
PCN,-25.066668,-130.08333,Pitcairn
BWA,-24.75,25.916666,Botswana
NAM,-22.566668,17.1,Namibia
NCL,-22.266666,166.45,New Caledonia
COK,-21.200001,-159.76666,Cook Islands
TON,-21.15,-175.23334,Tonga
REU,-20.866667,55.466667,Reunion
MUS,-20.166666,57.5,Mauritius
BOL,-19.083,-65.25,Bolivia
NIU,-19.016666,-169.91667,Niue
MDG,-18.866667,47.5,Madagascar
FJI,-18.133333,178.41667,Fiji
ZWE,-17.833334,31.049999,Zimbabwe
VUT,-17.75,168.3,Vanuatu
PYF,-17.533333,-149.56667,French Polynesia
SHN,-15.916667,-5.6999998,Saint Helena
BRA,-15.78,-47.91,Brazil
ZMB,-15.466666,28.266666,Zambia
MWI,-13.966666,33.816666,Malawi
WSM,-13.8,171.75,Samoa
WLF,-13.3,-176.2,Wallis and Futuna
CCK,-12.5,96.833336,Cocos (Keeling) Islands
PER,-12.1,-77.050003,Peru
COM,-11.666667,43.266666,Comoros
CXR,-10.416667,105.71667,Christmas Island
PNG,-9.5,147.11667,Papua New Guinea
SLB,-9.4666662,159.95,Solomon Islands
TKL,-9,-172,Tokelau
AGO,-8.833333,13.25,Angola
TMP,-8.5699997,125.58,East Timor
TUV,-8.5,179.2,Tuvalu
TZA,-6.1700001,35.740002,"Tanzania, United Rep. of "
IDN,-6.1333332,106.75,Indonesia
SYC,-4.6333332,55.466667,Seychelles
ZAR,-4.3000002,15.3,Congo (Democratic Republic of the)
COG,-4.2333331,15.233334,Congo
BDI,-3.3666666,29.316668,Burundi
RWA,-1.9333333,30.066668,Rwanda
KEN,-1.2833333,36.833332,Kenya
NRU,-.53333336,166.91667,Nauru
ECU,-.23333333,-78.5,Ecuador
STP,.2,6.7166667,Sao Tome and Principe
UGA,.33333334,32.583332,Uganda
GAB,.38333333,9.416667,Gabon
SGP,1.2833333,103.85,Singapore
KIR,1.3833333,173.14999,Kiribati
SOM,2.0333333,45.349998,Somalia
MYS,3.1333334,101.7,Malaysia
GNQ,3.75,8.8000002,Equatorial Guinea
CMR,3.8499999,11.516666,Cameroon
MDV,4.1666665,73.466667,Maldives
CAF,4.3833332,18.616667,Central African Republic
COL,4.6333332,-75.066666,Colombia
GUF,4.9333334,-52.333332,French Guiana
BRN,4.9333334,114.96667,Brunei Darussalam
GHA,5.5500002,-.25,Ghana
SUR,5.8666668,-55.233334,Suriname
TGO,6.1666665,1.35,Togo
LBR,6.3333335,-10.766666,Liberia
BEN,6.4000001,2.517,Benin
GUY,6.7666669,-58.166668,Guyana
CIV,6.8200002,-5.2800002,Côte d'Ivoire
LKA,6.9166665,79.866669,Sri Lanka
FSM,6.9166665,158.25,Micronesia (Federated States of)
MHL,7.1500001,171.2,Marshall Islands
PLW,7.3333335,134.48334,Palau
SLE,8.5,-13.283334,Sierra Leone
PAN,8.9499998,-79.5,Panama
ETH,9.0500002,38.833332,Ethiopia
NGA,9.1800003,7.1700001,Nigeria
GIN,9.5166664,-15.716666,Guinea
CRI,9.9833336,-84.066666,Costa Rica
VEN,10.583333,-66.933334,Venezuela
TTO,10.633333,-61.516666,Trinidad and Tobago
KHM,11.583333,104.91666,Cambodia
DJI,11.6,43.150002,Djibouti
GNB,11.866667,-15.65,Guinea-Bissau
GRD,12.066667,-61.733334,Grenada
NIC,12.1,-86.300003,Nicaragua
ANT,12.1,-68.933334,Netherland Antilles
TCD,12.166667,14.983334,Chad
BFA,12.333333,-1.6666666,Burkina Faso
ABW,12.55,-70.099998,Aruba
MLI,12.666667,-7.9833331,Mali
BRB,13.1,-59.616665,Barbados
VCT,13.2,-61.233334,Saint Vincent and the Grenadines
GMB,13.466666,-16.65,Gambia
NER,13.533334,2.0833333,Niger
SLV,13.666667,-89.166664,El Salvador
THA,13.733334,100.5,Thailand
LCA,14.016666,-60.983334,Saint Lucia
HND,14.083333,-87.23333,Honduras
MTQ,14.6,-61.083332,Martinique
PHL,14.616667,120.96667,Philippines
GTM,14.633333,-90.51667,Guatemala
SEN,14.633333,-17.450001,Senegal
CPV,14.916667,-23.5,Cape Verde
MNP,15.2,145.75,Northern Mariana Islands
DMA,15.3,-61.383335,Dominica
ERI,15.333333,38.883335,Eritrea
YEM,15.4,44.233334,Yemen
SDN,15.55,32.533333,Sudan
GLP,16,-61.733334,Guadeloupe
MSR,16.700001,-62.216667,Montserrat
MMR,16.783333,96.166664,Burma
ATG,17.133333,-61.833332,Antigua and Barbuda
BLZ,17.216667,-88.800003,Belize
KNA,17.283333,-62.716667,Saint Kitts and Nevis
JAM,17.966667,-76.800003,Jamaica
LAO,17.983334,102.63333,Lao People's Democratic Republic
MRT,18.15,-15.966666,Mauritania
AIA,18.216667,-63.066666,Anguilla
PRI,18.440001,-66.129997,Puerto Rico
VGB,18.450001,-64.616669,British Virgin Islands
DOM,18.5,-69.783333,Dominican Republic
HTI,18.549999,-72.333336,Haiti
CYM,19.299999,-81.383331,Cayman Islands
MEX,19.416666,-99.166664,Mexico
VNM,21.016666,105.86667,Viet Nam
TCA,21.466667,-71.133331,Turks and Caicos Islands
HKG,22.266666,114.15,Hong Kong
MAC,22.27,113.56,Macau (Aomen)
CUB,23.116667,-82.416664,Cuba
OMN,23.616667,58.633335,Oman
BGD,23.700001,90.366669,Bangladesh
ARE,24.466667,54.416668,United Arab Emirates
SAU,24.65,46.766666,Saudi Arabia
BHS,25.083334,-77.333336,Bahamas
